Biblioteca;Utente
LIB01;chiara.rizzo20@email.it
LIB02;elisa.monti28@email.it
LIB03;elisa.russo18@email.it
LIB04;francesca.rossi100@email.it
LIB01;lorenzo.bianchi77@email.it
LIB02;valentina.monti20@email.it
LIB03;matteo.monti103@email.it
LIB04;alessia.gallo136@email.it
LIB01;francesca.rossi100@email.it
LIB02;laura.bianchi10@email.it
LIB03;lorenzo.bianchi49@email.it
LIB04;matteo.monti103@email.it
LIB01;sara.santoro60@email.it
LIB02;matteo.marchetti41@email.it
LIB03;matteo.marchetti41@email.it
LIB04;alessia.gallo94@email.it
LIB01;claudia.parisi48@email.it
LIB02;matteo.monti47@email.it
LIB03;sara.santoro32@email.it
LIB04;sofia.ferrari106@email.it
LIB01;sofia.ferrari134@email.it
LIB02;andrea.ferrari85@email.it
LIB03;marco.costa79@email.it
LIB04;chiara.russo54@email.it
LIB01;claudia.parisi118@email.it
LIB02;elena.romano112@email.it
LIB03;elena.romano84@email.it
LIB04;francesca.romano12@email.it
LIB01;valentina.monti20@email.it
LIB02;matteo.monti117@email.it
LIB03;marco.costa135@email.it
LIB04;marco.costa135@email.it
LIB01;luca.conti67@email.it
LIB02;alessandro.russo7@email.it
LIB03;carlo.bianchi45@email.it
LIB04;marco.costa135@email.it
LIB01;andrea.galli13@email.it
LIB02;chiara.rizzo20@email.it
LIB03;sara.santoro144@email.it
LIB04;andrea.galli13@email.it
LIB01;lorenzo.bianchi77@email.it
LIB02;luca.conti53@email.it
LIB03;andrea.galli13@email.it
LIB04;elena.romano140@email.it
LIB01;luca.conti53@email.it
LIB02;andrea.galli13@email.it
LIB03;chiara.russo96@email.it
LIB04;matteo.marchetti55@email.it
LIB01;francesca.rossi86@email.it
LIB02;matteo.marchetti55@email.it
LIB03;luca.verdi13@email.it
LIB04;luca.verdi13@email.it
LIB01;claudia.parisi48@email.it
LIB02;matteo.monti89@email.it
LIB03;marco.costa79@email.it
LIB04;luca.conti81@email.it
LIB01;giulia.esposito18@email.it
LIB02;francesca.rossi44@email.it
LIB03;luigi.rossi19@email.it
LIB04;francesca.rossi44@email.it
LIB01;carlo.bianchi101@email.it
LIB02;giulia.esposito18@email.it
